keyword,category,prefecture_name,prefecture_number,prefecture_name_english,prefecture_name_kana,prefecture_capital,prefecture_capital_english,prefecture_url
熊本県,prefecture,熊本県,43,kumamoto,くまもとけん,熊本市,kumamoto-shi,http://www.pref.kumamoto.jp/
高知県,prefecture,高知県,39,kochi,こうちけん,高知市,kochi-shi,http://www.pref.kochi.lg.jp/
北海道,prefecture,北海道,1,hokkaido,ほっかいどう,札幌市,sapporo-shi,http://www.pref.hokkaido.lg.jp
青森県,prefecture,青森県,2,aomori,あおもりけん,青森市,aomori-shi,http://www.pref.aomori.lg.jp/
福井県,prefecture,福井県,18,fukui,ふくいけん,福井市,fukui-shi,http://www.pref.fukui.jp/
和歌山県,prefecture,和歌山県,30,wakayama,わかやまけん,和歌山市,wakayama-shi,http://www.pref.wakayama.lg.jp/
鹿児島県,prefecture,鹿児島県,46,kagoshima,かごしまけん,鹿児島市,kagoshima-shi,http://www.pref.kagoshima.jp/
徳島県,prefecture,徳島県,36,tokushima,とくしまけん,徳島市,tokushima-shi,http://www.pref.tokushima.jp/
埼玉県,prefecture,埼玉県,11,saitama,さいたまけん,さいたま市,saitama-shi,http://www.pref.saitama.lg.jp/
香川県,prefecture,香川県,37,kagawa,かがわけん,高松市,takamatsu-shi,http://www.pref.kagawa.jp/
群馬県,prefecture,群馬県,10,gunma,ぐんまけん,前橋市,maebashi-shi,http://www.pref.gunma.jp/
佐賀県,prefecture,佐賀県,41,saga,さがけん,佐賀市,saga-shi,http://www.pref.saga.lg.jp/
福岡県,prefecture,福岡県,40,fukuoka,ふくおかけん,福岡市,fukuoka-shi,http://www.pref.fukuoka.lg.jp/
新潟県,prefecture,新潟県,15,niiigata,にいがたけん,新潟市,niigata-shi,http://www.pref.niigata.lg.jp/
愛知県,prefecture,愛知県,23,aichi,あいちけん,名古屋市,nagoya-shi,http://www.pref.aichi.jp/
茨城県,prefecture,茨城県,8,ibaraki,いばらきけん,水戸市,mito-shi,http://www.pref.ibaraki.jp/
長野県,prefecture,長野県,20,nagano,ながのけん,長野市,nagano-shi,http://www.pref.nagano.lg.jp/
大阪府,prefecture,大阪府,27,osaka,おおさかふ,大阪市,osaka-shi,http://www.pref.osaka.jp/
山口県,prefecture,山口県,35,yamaguchi,やまぐちけん,山口市,yamaguchi-shi,http://www.pref.yamaguchi.jp/
神奈川県,prefecture,神奈川県,14,kanagawa,かながわけん,横浜市,yokohama-shi,http://www.pref.kanagawa.jp/
滋賀県,prefecture,滋賀県,25,shiga,しがけん,大津市,otsu-shi,http://www.pref.shiga.lg.jp/
愛媛県,prefecture,愛媛県,38,ehime,えひめけん,松山市,matsuyama-shi,http://www.pref.ehime.jp/
静岡県,prefecture,静岡県,22,shizuoka,しずおかけん,静岡市,shizuoka-shi,http://www.pref.shizuoka.jp/
宮崎県,prefecture,宮崎県,45,miyazaki,みやざきけん,宮崎市,miyazaki-shi,http://www.pref.miyazaki.lg.jp/
沖縄県,prefecture,沖縄県,47,okinawa,おきなわけん,那覇市,naha-shi,http://www.pref.okinawa.jp/
広島県,prefecture,広島県,34,hiroshima,ひろしまけん,広島市,hiroshima-shi,http://www.pref.hiroshima.lg.jp/
奈良県,prefecture,奈良県,29,nara,ならけん,奈良市,nara-shi,http://www.pref.nara.jp/
岐阜県,prefecture,岐阜県,21,gifu,ぎふけん,岐阜市,gifu-shi,http://www.pref.gifu.lg.jp/
京都府,prefecture,京都府,26,kyoto,きょうとふ,京都市,kyoto-shi,http://www.pref.kyoto.jp/
秋田県,prefecture,秋田県,5,akita,あきたけん,秋田市,akita-shi,http://www.pref.akita.lg.jp/
千葉県,prefecture,千葉県,12,chiba,ちばけん,千葉市,chiba-shi,http://www.pref.chiba.lg.jp/
岩手県,prefecture,岩手県,3,iwate,いわてけん,盛岡市,morioka-shi,http://www.pref.iwate.jp/
兵庫県,prefecture,兵庫県,28,hyogo,ひょうごけん,神戸市,kobe-shi,http://web.pref.hyogo.jp/
島根県,prefecture,島根県,32,shimane,しまねけん,松江市,matsue-shi,http://www.pref.shimane.lg.jp/
栃木県,prefecture,栃木県,9,tochigi,とちぎけん,宇都宮市,utsunomiya-shi,http://www.pref.tochigi.lg.jp
東京都,prefecture,東京都,13,tokyo,とうきょうと,新宿区,shinjuku-shi,http://www.metro.tokyo.jp/
福島県,prefecture,福島県,7,fukushima,ふくしまけん,福島市,fukushima-shi,http://www.pref.fukushima.jp/
宮城県,prefecture,宮城県,4,miyagi,みやぎけん,仙台市,sendai-shi,http://www.pref.miyagi.jp/
山形県,prefecture,山形県,6,yamagata,やまがたけん,山形市,yamagata-shi,http://www.pref.yamagata.jp/
鳥取県,prefecture,鳥取県,31,tottori,とっとりけん,鳥取市,tottori-shi,http://www.pref.tottori.lg.jp/
三重県,prefecture,三重県,24,mie,みえけん,津市,tsu-shi,http://www.pref.mie.jp/
岡山県,prefecture,岡山県,33,okayama,おかやまけん,岡山市,okayama-shi,http://www.pref.okayama.jp/
大分県,prefecture,大分県,44,oita,おおいたけん,大分市,oita-shi,http://www.pref.oita.jp/
石川県,prefecture,石川県,17,ishikawa,いしかわけん,金沢市,kanazawa-shi,http://www.pref.ishikawa.jp/
長崎県,prefecture,長崎県,42,nagasaki,ながさきけん,長崎市,nagasaki-shi,http://www.pref.nagasaki.jp/
山梨県,prefecture,山梨県,19,yamanashi,やまなしけん,甲府市,kofu-shi,http://www.pref.yamanashi.jp/
富山県,prefecture,富山県,16,toyama,とやまけん,富山市,toyama-shi,http://www.pref.toyama.jp/
球磨郡,city,熊本県,43,kumamoto,くまもとけん,熊本市,kumamoto-shi,http://www.pref.kumamoto.jp/
吾川郡,city,高知県,39,kochi,こうちけん,高知市,kochi-shi,http://www.pref.kochi.lg.jp/
幌泉郡,city,北海道,1,hokkaido,ほっかいどう,札幌市,sapporo-shi,http://www.pref.hokkaido.lg.jp
上北郡,city,青森県,2,aomori,あおもりけん,青森市,aomori-shi,http://www.pref.aomori.lg.jp/
大飯郡,city,福井県,18,fukui,ふくいけん,福井市,fukui-shi,http://www.pref.fukui.jp/
伊都郡,city,和歌山県,30,wakayama,わかやまけん,和歌山市,wakayama-shi,http://www.pref.wakayama.lg.jp/
薩摩郡,city,鹿児島県,46,kagoshima,かごしまけん,鹿児島市,kagoshima-shi,http://www.pref.kagoshima.jp/
西牟婁郡,city,和歌山県,30,wakayama,わかやまけん,和歌山市,wakayama-shi,http://www.pref.wakayama.lg.jp/
久遠郡,city,北海道,1,hokkaido,ほっかいどう,札幌市,sapporo-shi,http://www.pref.hokkaido.lg.jp
美馬郡,city,徳島県,36,tokushima,とくしまけん,徳島市,tokushima-shi,http://www.pref.tokushima.jp/
比企郡,city,埼玉県,11,saitama,さいたまけん,さいたま市,saitama-shi,http://www.pref.saitama.lg.jp/
虻田郡,city,北海道,1,hokkaido,ほっかいどう,札幌市,sapporo-shi,http://www.pref.hokkaido.lg.jp
仲多度郡,city,香川県,37,kagawa,かがわけん,高松市,takamatsu-shi,http://www.pref.kagawa.jp/
利根郡,city,群馬県,10,gunma,ぐんまけん,前橋市,maebashi-shi,http://www.pref.gunma.jp/
日高郡,city,和歌山県,30,wakayama,わかやまけん,和歌山市,wakayama-shi,http://www.pref.wakayama.lg.jp/
三養基郡,city,佐賀県,41,saga,さがけん,佐賀市,saga-shi,http://www.pref.saga.lg.jp/
京都郡,city,福岡県,40,fukuoka,ふくおかけん,福岡市,fukuoka-shi,http://www.pref.fukuoka.lg.jp/
勇払郡,city,北海道,1,hokkaido,ほっかいどう,札幌市,sapporo-shi,http://www.pref.hokkaido.lg.jp
東蒲原郡,city,新潟県,15,niiigata,にいがたけん,新潟市,niigata-shi,http://www.pref.niigata.lg.jp/
知多郡,city,愛知県,23,aichi,あいちけん,名古屋市,nagoya-shi,http://www.pref.aichi.jp/
稲敷郡,city,茨城県,8,ibaraki,いばらきけん,水戸市,mito-shi,http://www.pref.ibaraki.jp/
下伊那郡,city,長野県,20,nagano,ながのけん,長野市,nagano-shi,http://www.pref.nagano.lg.jp/
大阪市,city,大阪府,27,osaka,おおさかふ,大阪市,osaka-shi,http://www.pref.osaka.jp/
阿武郡,city,山口県,35,yamaguchi,やまぐちけん,山口市,yamaguchi-shi,http://www.pref.yamaguchi.jp/
愛甲郡,city,神奈川県,14,kanagawa,かながわけん,横浜市,yokohama-shi,http://www.pref.kanagawa.jp/
愛知郡,city,滋賀県,25,shiga,しがけん,大津市,otsu-shi,http://www.pref.shiga.lg.jp/
南宇和郡,city,愛媛県,38,ehime,えひめけん,松山市,matsuyama-shi,http://www.pref.ehime.jp/
上川郡,city,北海道,1,hokkaido,ほっかいどう,札幌市,sapporo-shi,http://www.pref.hokkaido.lg.jp
静岡市,city,静岡県,22,shizuoka,しずおかけん,静岡市,shizuoka-shi,http://www.pref.shizuoka.jp/
横浜市,city,神奈川県,14,kanagawa,かながわけん,横浜市,yokohama-shi,http://www.pref.kanagawa.jp/
遠賀郡,city,福岡県,40,fukuoka,ふくおかけん,福岡市,fukuoka-shi,http://www.pref.fukuoka.lg.jp/
葦北郡,city,熊本県,43,kumamoto,くまもとけん,熊本市,kumamoto-shi,http://www.pref.kumamoto.jp/
綾歌郡,city,香川県,37,kagawa,かがわけん,高松市,takamatsu-shi,http://www.pref.kagawa.jp/
東諸県郡,city,宮崎県,45,miyazaki,みやざきけん,宮崎市,miyazaki-shi,http://www.pref.miyazaki.lg.jp/
島尻郡,city,沖縄県,47,okinawa,おきなわけん,那覇市,naha-shi,http://www.pref.okinawa.jp/
岩船郡,city,新潟県,15,niiigata,にいがたけん,新潟市,niigata-shi,http://www.pref.niigata.lg.jp/
広島市,city,広島県,34,hiroshima,ひろしまけん,広島市,hiroshima-shi,http://www.pref.hiroshima.lg.jp/
山県郡,city,広島県,34,hiroshima,ひろしまけん,広島市,hiroshima-shi,http://www.pref.hiroshima.lg.jp/
安芸郡,city,高知県,39,kochi,こうちけん,高知市,kochi-shi,http://www.pref.kochi.lg.jp/
生駒郡,city,奈良県,29,nara,ならけん,奈良市,nara-shi,http://www.pref.nara.jp/
安八郡,city,岐阜県,21,gifu,ぎふけん,岐阜市,gifu-shi,http://www.pref.gifu.lg.jp/
鞍手郡,city,福岡県,40,fukuoka,ふくおかけん,福岡市,fukuoka-shi,http://www.pref.fukuoka.lg.jp/
国頭郡,city,沖縄県,47,okinawa,おきなわけん,那覇市,naha-shi,http://www.pref.okinawa.jp/
